[9£¬288]:1.300537149864107,[9£¬100]:1.2726017590646297,[9£¬9]:1.2707989642351862,[9£¬127]:1.2479224507582283,[9£¬289]:1.0844452999723273,[9£¬181]:1.0411776545898068,[9£¬523]:0.8738162065680253,[9£¬531]:0.8569291248986447,[9£¬14]:0.8479316639234142,[9£¬222]:0.841972886367408,
[145£¬147]:4.373000646137582,[145£¬79]:4.373000646137582,[145£¬125]:4.373000646137582,[145£¬210]:4.373000646137582,[145£¬144]:4.373000646137582,[145£¬742]:3.9431747076672323,[145£¬31]:3.9431747076672323,[145£¬245]:3.9357936704082435,[145£¬196]:3.935573782561636,[145£¬2]:3.935573782561636,
[296£¬423]:3.901710618027198,[296£¬174]:3.901710618027198,[296£¬135]:3.523340531086539,[296£¬64]:3.5181006527964676,[296£¬405]:3.5181006527964676,[296£¬195]:3.4972073773129093,[296£¬98]:3.1512915213013586,[296£¬216]:3.1493698398909675,[296£¬12]:3.1493698398909675,[296£¬223]:3.1413549546546458,
[144£¬1]:4.144277340331952,[144£¬121]:4.144277340331952,[144£¬318]:3.7417942578976575,[144£¬286]:3.7378092768834565,[144£¬222]:3.7367241649231673,[144£¬134]:3.3243845680095476,[144£¬568]:3.3237352949938903,[144£¬546]:3.31774019210271,[144£¬179]:3.3136650973673296,[144£¬180]:3.299868536654353,
[111£¬300]:3.562271566375173,[111£¬303]:3.1673395635639054,[111£¬310]:3.041492379775848,[111£¬327]:2.5743129299153416,[111£¬345]:2.511952517760184,[111£¬750]:2.5010804501955004,[111£¬288]:2.0950790916168187,[111£¬347]:2.088360167869127,[111£¬346]:2.0753344897982315,[111£¬900]:2.0455047511922,
[473£¬286]:2.927239133871188,[473£¬100]:2.9013829451524757,[473£¬325]:2.2335582946891566,[473£¬324]:2.2035580628748095,[473£¬288]:2.2016631669055533,[473£¬221]:1.8226443743487502,[473£¬137]:1.7851773083649107,[473£¬237]:1.4810384494783166,[473£¬13]:1.4607709421208774,[473£¬121]:1.4607709421208774,
[129£¬301]:3.419509733841019,[129£¬328]:3.409047435646951,[129£¬322]:3.009836488641668,[129£¬750]:2.980703979239643,[129£¬302]:2.9703901264947654,[129£¬313]:2.9667179515708324,[129£¬333]:2.555221880641747,[129£¬323]:2.552225447820614,[129£¬315]:2.149400144921758,[129£¬344]:2.143126029179123,
[869£¬111]:2.8534815494093815,[869£¬276]:2.815195335176747,[869£¬7]:2.497001122499907,[869£¬742]:2.4934940857436683,[869£¬257]:2.4815921528638594,[869£¬121]:2.1413203084284564,[869£¬1]:2.1186396999817854,[869£¬300]:2.1000517665284693,[869£¬926]:1.7929331073667774,[869£¬14]:1.7616317585461438,
[937£¬276]:2.65558978092899,[937£¬283]:2.246275551959478,[937£¬273]:1.900183628729661,[937£¬257]:1.8865115646102317,[937£¬321]:1.8745651392063298,[937£¬15]:1.8306786579617997,[937£¬288]:1.5241244708067359,[937£¬302]:1.519440050519117,[937£¬181]:1.5131026966501007,[937£¬744]:1.5084182763624818,
[63£¬248]:3.487515818278914,[63£¬7]:3.4716650908921,[63£¬117]:3.1249937662429597,[63£¬124]:3.105243122472029,[63£¬845]:3.039098475847615,[63£¬235]:3.039098475847615,[63£¬125]:3.0246057683926386,[63£¬127]:3.019347832076685,[63£¬294]:2.7370851485793244,[63£¬298]:2.731473910301068,
[539£¬98]:2.5917086009194157,[539£¬276]:2.3080484710649727,[539£¬100]:2.279831691742521,[539£¬480]:2.037939538485254,[539£¬134]:2.037939538485254,[539£¬64]:2.03406031656838,[539£¬14]:2.031551321164777,[539£¬435]:2.0237010548357635,[539£¬479]:1.762129674959824,[539£¬213]:1.7616863137384906,
