K,准确率,召回率,覆盖率,流行度,新鲜度
1,0.170498295,0.139715161,0.274096386,5.197863342,0.953003574
2,0.183560477,0.155399315,0.248795181,5.360675842,0.948677577
3,0.191112525,0.162430142,0.224096386,5.449339138,0.946225121
4,0.194697773,0.165494862,0.210240964,5.508567129,0.944580272
5,0.1976,0.168,0.2036,5.5369,0.9439
6,0.199257688,0.169370831,0.18253012,5.563514801,0.94343077
7,0.199893955,0.169911664,0.176506024,5.587814861,0.942705778
8,0.2,0.170001803,0.16686747,5.598445944,0.942529911
9,0.198303287,0.168559582,0.160240964,5.612467812,0.942227954
10,0.1995,0.1696,0.156,5.6216,0.942
11,0.20116649,0.17099333,0.153012048,5.62142533,0.942182771
12,0.201378579,0.171173607,0.147590361,5.625249426,0.942214522
13,0.200848356,0.170722913,0.143975904,5.629685103,0.942196993
14,0.201696713,0.171444024,0.140361446,5.6316689,0.942180712
15,0.203075292,0.172615828,0.141566265,5.628524268,0.942408563
16,0.20233298,0.171984857,0.136746988,5.628448942,0.942556692
17,0.202439024,0.172074995,0.134337349,5.628694005,0.942596532
18,0.203181336,0.172705967,0.136144578,5.627992407,0.94266937
19,0.203711559,0.173156661,0.13313253,5.627515854,0.942755536
20,0.2032,0.1727,0.1313,5.6282,0.9427
21,0.202969247,0.17252569,0.130120482,5.629576993,0.942714615
22,0.201484624,0.171263746,0.129518072,5.628158036,0.942802341
23,0.2,0.170001803,0.13253012,5.626095515,0.94292841
24,0.2,0.170001803,0.131927711,5.624219874,0.943085168
25,0.200106045,0.170091942,0.129518072,5.621660825,0.94326902
26,0.198939555,0.169100415,0.129518072,5.620020687,0.943384588
27,0.197985154,0.168289165,0.126506024,5.618546411,0.943472647
28,0.199045599,0.169190553,0.125301205,5.616730934,0.943585345
29,0.198303287,0.168559582,0.125301205,5.615077147,0.943710519
30,0.1986,0.1688,0.1253,5.6164,0.9437
31,0.19883351,0.169010276,0.125301205,5.615752527,0.943719689
32,0.198091198,0.168379304,0.124698795,5.615219962,0.943746886
33,0.198303287,0.168559582,0.124096386,5.616627766,0.943689144
34,0.198621421,0.168829998,0.124096386,5.616193471,0.943721436
35,0.197454931,0.167838471,0.122891566,5.617066439,0.943716986
36,0.197242842,0.167658194,0.122891566,5.616945215,0.943735408
37,0.198197243,0.168469443,0.122891566,5.616008533,0.943772878
38,0.196712619,0.1672075,0.122891566,5.616320736,0.943756617
39,0.196924708,0.167387777,0.122289157,5.617045131,0.943749589
40,0.1968,0.1673,0.1187,5.6181,0.9437
41,0.197348887,0.167748332,0.119879518,5.616824722,0.943746429
42,0.197985154,0.168289165,0.118674699,5.617687542,0.94370975
43,0.197773065,0.168108888,0.118674699,5.617900218,0.943680141
44,0.197242842,0.167658194,0.118674699,5.616331702,0.943764144
45,0.196288441,0.166846944,0.118674699,5.614382431,0.943874535
46,0.196076352,0.166666667,0.118674699,5.616617174,0.943748508
47,0.196076352,0.166666667,0.119277108,5.61689683,0.943742249
48,0.197136797,0.167568055,0.121686747,5.617909887,0.943676918
49,0.195440085,0.166125834,0.120481928,5.618146059,0.943681222
50,0.195758218,0.16639625,0.121084337,5.61864813,0.94366413
51,0.196288441,0.166846944,0.119879518,5.620487366,0.943567089
52,0.195758218,0.16639625,0.119277108,5.621381809,0.943524214
53,0.194697773,0.165494862,0.11686747,5.62267234,0.943466742
54,0.194379639,0.165224446,0.118072289,5.623678035,0.943399933
55,0.193849417,0.164773752,0.11626506,5.623541799,0.94342002
56,0.193849417,0.164773752,0.115060241,5.623792198,0.943410164
57,0.193107105,0.16414278,0.115060241,5.624461888,0.943381386
58,0.19300106,0.164052641,0.115060241,5.624303435,0.943392864
59,0.193425239,0.164413196,0.114457831,5.625164529,0.943360759
60,0.1928,0.1639,0.1139,5.6251,0.9433
61,0.193107105,0.16414278,0.114457831,5.626340789,0.943295157
62,0.19321315,0.164232919,0.113253012,5.625970614,0.943318841
63,0.193531283,0.164503335,0.113855422,5.627112681,0.943234483
64,0.193425239,0.164413196,0.113253012,5.626148692,0.943304181
65,0.19321315,0.164232919,0.114457831,5.626133958,0.943316345
66,0.19300106,0.164052641,0.113855422,5.625874213,0.943322313
67,0.193107105,0.16414278,0.113855422,5.626085381,0.943315077
68,0.192152704,0.163331531,0.113855422,5.627344843,0.943247105
69,0.192576882,0.163692086,0.115662651,5.625880241,0.943327303
70,0.192152704,0.163331531,0.115060241,5.626147497,0.943319485
71,0.19204666,0.163241392,0.113855422,5.625785263,0.94333481
