K,准确度,召回率,覆盖率,流行度,新鲜度,
1,0.07187703,0.059852172,0.437349398,4.659673134,0.971434527,
2,0.10844652,0.092121868,0.496385542,4.919076475,0.965784147,
3,0.134358431,0.114205877,0.471084337,5.067089413,0.962263489,
4,0.154506893,0.131332252,0.434337349,5.163197361,0.959611212,
5,0.165959703,0.141067244,0.405421687,5.219280166,0.957941426,
6,0.176670201,0.150171264,0.378313253,5.261313733,0.956655501,
7,0.182290562,0.154948621,0.360240964,5.292992227,0.955592831,
8,0.187274655,0.159185145,0.351204819,5.322087806,0.954577298,
9,0.192152704,0.163331531,0.328313253,5.349064627,0.953711039,
10,0.195440085,0.166125834,0.323493976,5.368888563,0.952953756,
11,0.19766702,0.168018749,0.302409639,5.388797824,0.952279167,
12,0.199893955,0.169911664,0.292168675,5.403493354,0.951733891,
13,0.203287381,0.172796106,0.281927711,5.416996583,0.951249392,
14,0.20583245,0.174959438,0.274698795,5.42766189,0.950904269,
15,0.205090138,0.174328466,0.269277108,5.43708278,0.950477117,
16,0.205090138,0.174328466,0.263855422,5.445716062,0.950156177,
17,0.208271474,0.17703263,0.258433735,5.454344356,0.949829996,
18,0.208801697,0.177483324,0.248795181,5.46485296,0.949431934,
19,0.211028632,0.179376239,0.245783133,5.470962873,0.949175784,
20,0.21145281,0.179736795,0.236144578,5.479476245,0.948854428,
21,0.213361612,0.181359293,0.228915663,5.48636202,0.948571622,
22,0.215270414,0.182981792,0.228915663,5.491790042,0.948364876,
23,0.21495228,0.182711376,0.224096386,5.49972305,0.948035494,
24,0.216224814,0.183793041,0.219879518,5.50335505,0.947890088,
25,0.213149523,0.181179016,0.215662651,5.509429144,0.947654045,
26,0.214422057,0.182260681,0.214457831,5.513934556,0.947479841,
27,0.216012725,0.183612764,0.214457831,5.518015959,0.947323145,
28,0.215058324,0.182801514,0.211445783,5.520734951,0.947237727,
29,0.215376458,0.183071931,0.209036145,5.523940671,0.947103425,
30,0.216330859,0.18388318,0.206626506,5.529911635,0.946817021,
31,0.218345705,0.185595818,0.206024096,5.53362508,0.946672177,
32,0.221208908,0.188029566,0.201807229,5.537132371,0.946558564,
33,0.22173913,0.18848026,0.2,5.540681257,0.946386376,
34,0.221102863,0.187939427,0.195180723,5.544074383,0.946271017,
35,0.220996819,0.187849288,0.191566265,5.547174875,0.946155719,
36,0.221633086,0.188390121,0.189156627,5.551316046,0.945968769,
37,0.221633086,0.188390121,0.189156627,5.554839983,0.945823571,
38,0.22078473,0.18766901,0.188554217,5.557176229,0.945703034,
39,0.221845175,0.188570398,0.187951807,5.558305836,0.945646872,
40,0.22195122,0.188660537,0.184337349,5.561730193,0.945521074,
41,0.221527041,0.188299982,0.181927711,5.563167311,0.94545753,
42,0.223117709,0.189652064,0.180722892,5.56603993,0.94532275,
43,0.220890774,0.187759149,0.178915663,5.568878426,0.945226935,
44,0.221845175,0.188570398,0.174096386,5.572663123,0.945075666,
45,0.22195122,0.188660537,0.172891566,5.573925049,0.945025804,
46,0.220572641,0.187488733,0.169277108,5.575529895,0.944963654,
47,0.220360551,0.187308455,0.169879518,5.57762244,0.944861394,
48,0.221208908,0.188029566,0.170481928,5.577468323,0.944876926,
49,0.221420997,0.188209843,0.168072289,5.580262935,0.944756805,
50,0.222057264,0.188750676,0.168674699,5.581723689,0.944690911,
51,0.222693531,0.189291509,0.16686747,5.585266105,0.944541451,
52,0.220996819,0.187849288,0.164457831,5.587741915,0.94443,
53,0.222269353,0.188930954,0.161445783,5.588916846,0.944366893,
54,0.221420997,0.188209843,0.160240964,5.589372758,0.944372549,
55,0.220042418,0.187038039,0.160843373,5.591522081,0.944271765,
56,0.221102863,0.187939427,0.160843373,5.592845019,0.944207369,
57,0.219830329,0.186857761,0.159036145,5.594096103,0.944148816,
58,0.218875928,0.186046512,0.158433735,5.594537723,0.944127149,
59,0.219088017,0.186226789,0.158433735,5.596918383,0.944026553,
60,0.219194062,0.186316928,0.157228916,5.597970419,0.943974799,
61,0.219300106,0.186407067,0.154819277,5.599779784,0.943895827,
62,0.221208908,0.188029566,0.155421687,5.599544109,0.943916142,
63,0.219406151,0.186497206,0.154216867,5.60181445,0.943815191,
64,0.219088017,0.186226789,0.153012048,5.604136289,0.943706173,
65,0.217921527,0.185235262,0.153012048,5.604249674,0.943704344,
66,0.218133616,0.18541554,0.151204819,5.604849098,0.943682615,
67,0.216861082,0.184333874,0.151204819,5.607328626,0.943554717,
68,0.217497349,0.184874707,0.151204819,5.608258873,0.943518454,
69,0.217073171,0.184514152,0.148192771,5.609197481,0.943483605,
70,0.217179215,0.184604291,0.148192771,5.61013882,0.94343759,
71,0.215694592,0.183342347,0.148192771,5.611812164,0.943354792,
72,0.215482503,0.18316207,0.146385542,5.612547121,0.943331337,
73,0.216861082,0.184333874,0.145783133,5.613615583,0.943279417,
74,0.216436903,0.183973319,0.146987952,5.615075,0.943207598,
75,0.217073171,0.184514152,0.145783133,5.616020961,0.943179091,
76,0.217921527,0.185235262,0.145180723,5.616592612,0.943148816,
77,0.216648993,0.184153597,0.143373494,5.616756018,0.943143181,
78,0.217073171,0.184514152,0.143373494,5.617719072,0.943096771,
79,0.216330859,0.18388318,0.140963855,5.6185622,0.943065145,
80,0.216436903,0.183973319,0.139759036,5.620259923,0.942983677,
81,0.215376458,0.183071931,0.142771084,5.621641849,0.942909384,
82,0.215694592,0.183342347,0.140361446,5.622490979,0.942882873,
83,0.216012725,0.183612764,0.139156627,5.623662894,0.942821325,
84,0.21611877,0.183702902,0.139156627,5.623804897,0.942823945,
85,0.216542948,0.184063458,0.139156627,5.624535128,0.942785104,
86,0.215588547,0.183252208,0.137951807,5.62627754,0.942690974,
87,0.215694592,0.183342347,0.138554217,5.627576496,0.942633335,
88,0.215058324,0.182801514,0.137349398,5.627941224,0.942615349,
89,0.215376458,0.183071931,0.137349398,5.62834052,0.942601273,
90,0.215058324,0.182801514,0.138554217,5.628757137,0.94258809,
91,0.215270414,0.182981792,0.136746988,5.629118276,0.942570291,
92,0.215694592,0.183342347,0.137349398,5.628714855,0.942587279,
93,0.215376458,0.183071931,0.134939759,5.629666988,0.942545901,
94,0.214634146,0.182440959,0.136144578,5.630629099,0.942502485,
95,0.214422057,0.182260681,0.137951807,5.631443199,0.942457301,
96,0.214103924,0.181990265,0.136144578,5.633224703,0.942364772,
97,0.215058324,0.182801514,0.135542169,5.633442464,0.942354813,
98,0.214316013,0.182170543,0.134337349,5.635146938,0.942265319,
99,0.214846235,0.182621237,0.13373494,5.635648806,0.942243757,
100,0.213997879,0.181900126,0.131927711,5.63681057,0.942194145,
101,0.214528102,0.18235082,0.131927711,5.636837636,0.942189965,
102,0.213997879,0.181900126,0.131325301,5.637647832,0.942159815,
103,0.213255567,0.181269154,0.130120482,5.63941519,0.942070114,
104,0.213573701,0.181539571,0.129518072,5.639195254,0.942078577,
105,0.213573701,0.181539571,0.128915663,5.640640423,0.942008816,
106,0.214209968,0.182080404,0.128915663,5.640408587,0.942022456,
107,0.213043478,0.181088877,0.128915663,5.64140812,0.941975111,
108,0.213467656,0.181449432,0.128915663,5.642318267,0.941930135,
109,0.2126193,0.180728322,0.127108434,5.642883902,0.94190693,
110,0.212407211,0.180548044,0.125903614,5.644184182,0.941839436,
111,0.213043478,0.181088877,0.126506024,5.644498063,0.941830204,
112,0.2126193,0.180728322,0.127710843,5.64515138,0.941809307,
113,0.212407211,0.180548044,0.130120482,5.645671471,0.941779344,
114,0.212407211,0.180548044,0.129518072,5.64586771,0.941779947,
115,0.211770944,0.180007211,0.128915663,5.647221991,0.94171027,
116,0.211240721,0.179556517,0.128313253,5.647118542,0.941713451,
117,0.211134677,0.179466378,0.128313253,5.647408853,0.941700019,
118,0.211983033,0.180187489,0.128313253,5.648346738,0.94164577,
119,0.211876988,0.18009735,0.128313253,5.649226705,0.941604683,
120,0.211346766,0.179646656,0.129518072,5.650482816,0.941531741,
121,0.209544008,0.178114296,0.127108434,5.651402384,0.941495436,
122,0.211664899,0.179917072,0.128313253,5.652122729,0.941455181,
123,0.210604454,0.179015684,0.127710843,5.652510868,0.941444742,
124,0.209650053,0.178204435,0.125903614,5.652833717,0.941430977,
125,0.210074231,0.17856499,0.125903614,5.653695266,0.941389038,
126,0.209650053,0.178204435,0.125903614,5.654411453,0.941347098,
127,0.210180276,0.178655129,0.125301205,5.654234643,0.941361362,
128,0.208695652,0.177393186,0.125903614,5.654795367,0.941331171,
